name,latitude,longitude,address,currently_open,pv_current_in,pv_energy_level,rate_current,rate_predicted,active
Queenstown/Science Park Dr/DNV GL/Lobby,1.29014253616333,103.786895751953,"16, Science Park Dr",true,0,0,0.39,,true
Central/Claymore Rd/21,1.3077385,103.8301985,Claymore Road 21,true,0,0,0.22,,true
Queenstown/Holland Dr/Blk 18/Deck 1A,1.3118,103.79207,18 Holland Drive,true,0,0,0.36,,true
Central/Mohamed Sultan Rd/28,1.29288,103.8413,28 Mohamed Sultan Road,true,0,0,0.28,,true
Yishun/Yishun St 22/Blk265,1.4369706,103.8383619,265 Yishun Street 22,true,0,0,0.26,,true
Tampines/Simei St 1/Blk 108,1.343322,103.951077,108 Simei Street 1,true,0,0,0.27,,true
Ang Mo Kio/Ang Mo Kio Av 4/Blk 157,1.3751449,103.839079,157 Ang Mo Kio Avenue 4,true,0,0,0.34,,true
Tampines/Tampines St 41/Blk 420,1.357537,103.947125,420 Tampines Street 41,true,0,0,0.31,,true
Queenstown/Fusionopolis Pl/1/Deck B4,1.29866,103.78748,1 Fusionopolis Place,true,0,0,0.36,,true
Tampines/Simei Street 1/Blk 132,1.3472048,103.9562201,132 Simei Street 1,true,0,0,0.31,,true
Tampines/Tampines Avenue 4/Blk 902,1.351249,103.939541,902 Tampines Avenue 4,true,0,0,0.34,,true
Queenstown/11 Biopolis Way/Helios/Deck B2,1.304152,103.791778,11 Biopolis Way,true,0,0,0.41,,true
Yishun/Yishun Ring Road/Blk 853,1.416593,103.836526,850 to 855 Yishun Ring Road,true,0,0,0.31,,true
Geylang/Haig Road/Blk 8,1.31379,103.896451,8 Haig Road,true,0,0,0.23,,true
Clementi/Clementi West Street 1/Blk 602,1.304373,103.766838,Blk 602 Clementi West Street 1,true,0,0,0.39,,true
Jurong West/Boon Lay Drive/Blk 188,1.344062,103.711245,188 Boon Lay Drive,true,0,0,0.34,,true
Bedok/Chai Chee Avenue/Blk 37,1.325325,103.925817,37 Chai Chee Avenue,true,0,0,0.29,,true
Tampines/Tampines Street 22/Blk 274,1.348438,103.950524,Blk 272/275 Tampines Street 22,true,0,0,0.35,,true
Bukit Merah/Bukit Merah View/Blk 129A/Deck 2A,1.283532,103.823372,129A Bukit Merah View,true,0,0,0.45,,true
Bukit Timah/Queens Road/Blk 4/Deck 1A,1.318738,103.808169,4 Queen's Road,true,0,0,0.37,,true
Hougang/Hougang Street 61/Blk 688,1.37595,103.885492,Blk 685/691 Hougang Street 61,true,0,0,0.33,,true
Yishun/Yishun Avenue 3/Blk 769,1.424284,103.833346,773 Yishun Avenue 3,true,0,0,0.3,,true
Yishun/Yishun Ring Road/Blk 809,1.416833,103.83048,800-812 Yishun Ring Road,true,0,0,0.31,,true
Geylang/Eunos Crescent/Blk 31A/Deck 1A,1.320225,103.9017609,31A Eunos Crescent,true,0,0,0.38,,true
Clementi/West Coast Road/Blk 708,1.306052,103.761812,704-714 West Coast Road,true,0,0,0.32,,true
Bedok/Bedok South Avenue 3/Behind Blk 69,1.319455,103.943098,69 Bedok South Avenue 3,true,0,0,0.4,,true
Kembangan/21 Jalan Masjid/Beside Kembangan Plaza,1.320397,103.912296,21 Jalan Masjid,true,0,0,0.48,,true
Bukit Batok/Bukit Batok Street 52/Blk 537,1.355013,103.751187,537 Bukit Batok Street 52,true,0,0,0.41,,true
Jurong East/8 Jurong Town Hall Road/JTC Summit/Deck B2,1.33115,103.74184,8 Jurong Town Hall Road,true,0,0,0.54,,true
Ang Mo Kio/Ang Mo Kio Avenue 9/Blk 627,1.382052,103.841393,627 Ang Mo Kio Avenue 9,true,0,0,0.38,,true
Punggol/Punggol Place/Blk 273/Deck 1,1.402703,103.901963,273 Punggol Place,true,0,0,0.36,,true
Tampines/Tampines Street 91/Blk 921A/Deck 1A,1.347284,103.941371,921A Tampines Street 91,true,0,0,0.44,,true
Jurong East/Jurong East Street 21/Blk 230,1.341813,103.737565,215-230 Jurong East Street 21,true,0,0,0.41,,true
Ang Mo Kio/Ang Mo Kio Avenue 6/Blk 123,1.370392,103.844376,123 Ang Mo Kio Avenue 6,true,0,0,0.38,,true
Jurong West/Jurong West Street 81/Blk 854A/Deck 1A,1.347775,103.696495,854A Jurong West Street 81,true,0,0,0.5,,true
Clementi/Clementi Avenue 2/Blk 334/Beside Caltex,1.314724,103.768296,334 Clementi Avenue 2,true,0,0,0.48,,true
