name,latitude,longitude,address,provider,connectors,online,kilowatts,twenty_four_hours
Queenstown/Science Park Dr/DNV GL/Lobby,1.290142536,103.7868958,"16, Science Park Dr",Bluecharge,2,TRUE,39,FALSE
Central/Claymore Rd/21,1.3077385,103.8301985,Claymore Road 21,Bluecharge,2,TRUE,22,FALSE
Queenstown/Holland Dr/Blk 18/Deck 1A,1.3118,103.79207,18 Holland Drive,Bluecharge,1,TRUE,36,TRUE
Central/Mohamed Sultan Rd/28,1.29288,103.8413,28 Mohamed Sultan Road,Bluecharge,3,TRUE,28,FALSE
Yishun/Yishun St 22/Blk265,1.4369706,103.8383619,265 Yishun Street 22,Bluecharge,0,TRUE,26,TRUE
Tampines/Simei St 1/Blk 108,1.343322,103.951077,108 Simei Street 1,Bluecharge,3,TRUE,27,TRUE
Ang Mo Kio/Ang Mo Kio Av 4/Blk 157,1.3751449,103.839079,157 Ang Mo Kio Avenue 4,Bluecharge,2,TRUE,34,TRUE
Tampines/Tampines St 41/Blk 420,1.357537,103.947125,420 Tampines Street 41,Bluecharge,0,TRUE,31,TRUE
Queenstown/Fusionopolis Pl/1/Deck B4,1.29866,103.78748,1 Fusionopolis Place,Bluecharge,4,TRUE,36,TRUE
Tampines/Simei Street 1/Blk 132,1.3472048,103.9562201,132 Simei Street 1,Bluecharge,0,TRUE,31,TRUE
Tampines/Tampines Avenue 4/Blk 902,1.351249,103.939541,902 Tampines Avenue 4,Bluecharge,3,TRUE,34,TRUE
Queenstown/11 Biopolis Way/Helios/Deck B2,1.304152,103.791778,11 Biopolis Way,Bluecharge,4,TRUE,41,TRUE
Yishun/Yishun Ring Road/Blk 853,1.416593,103.836526,850 to 855 Yishun Ring Road,Bluecharge,0,TRUE,31,TRUE
Geylang/Haig Road/Blk 8,1.31379,103.896451,8 Haig Road,Bluecharge,1,TRUE,23,TRUE
Clementi/Clementi West Street 1/Blk 602,1.304373,103.766838,Blk 602 Clementi West Street 1,Bluecharge,4,TRUE,39,TRUE
Jurong West/Boon Lay Drive/Blk 188,1.344062,103.711245,188 Boon Lay Drive,Bluecharge,3,TRUE,34,TRUE
Bedok/Chai Chee Avenue/Blk 37,1.325325,103.925817,37 Chai Chee Avenue,Bluecharge,2,TRUE,29,TRUE
Tampines/Tampines Street 22/Blk 274,1.348438,103.950524,Blk 272/275 Tampines Street 22,Bluecharge,0,TRUE,35,TRUE
Bukit Merah/Bukit Merah View/Blk 129A/Deck 2A,1.283532,103.823372,129A Bukit Merah View,Bluecharge,4,TRUE,45,TRUE
Bukit Timah/Queens Road/Blk 4/Deck 1A,1.318738,103.808169,4 Queen's Road,Bluecharge,4,TRUE,37,TRUE
Hougang/Hougang Street 61/Blk 688,1.37595,103.885492,Blk 685/691 Hougang Street 61,Bluecharge,0,TRUE,33,TRUE
Yishun/Yishun Avenue 3/Blk 769,1.424284,103.833346,773 Yishun Avenue 3,Bluecharge,4,TRUE,30,TRUE
Yishun/Yishun Ring Road/Blk 809,1.416833,103.83048,800-812 Yishun Ring Road,Bluecharge,0,TRUE,31,TRUE
Geylang/Eunos Crescent/Blk 31A/Deck 1A,1.320225,103.9017609,31A Eunos Crescent,Bluecharge,4,TRUE,38,TRUE
Clementi/West Coast Road/Blk 708,1.306052,103.761812,704-714 West Coast Road,Bluecharge,2,TRUE,32,TRUE
Bedok/Bedok South Avenue 3/Behind Blk 69,1.319455,103.943098,69 Bedok South Avenue 3,Bluecharge,3,TRUE,40,TRUE
Kembangan/21 Jalan Masjid/Beside Kembangan Plaza,1.320397,103.912296,21 Jalan Masjid,Bluecharge,2,TRUE,48,TRUE
Bukit Batok/Bukit Batok Street 52/Blk 537,1.355013,103.751187,537 Bukit Batok Street 52,Bluecharge,2,TRUE,41,TRUE
